ProblemNo,Connection,Cost
35,15606 : 13 -> 19 ; 15903 : 5 -> 6 ; 12423 : 4 -> 5 ; 15933 : 7 -> 8 ; 15670 : 3 -> 4 ; 12068 : 9 -> 11 ; 14055 : 18 -> 19 ; 12346 : 2 -> 3 ; 02510 : 2 -> 3 ; 12501 : 3 -> 5 ; 13281 : 19 -> 20 ; 15483 : 5 -> 6 ; 13150 : 6 -> 7 ; 12501 : 7 -> 8 ; 15636 : 11 -> 12 ; 12501 : 9 -> 10 ; 12521 : 1 -> 2 ; 11065 : 38 -> 39 ; 13185 : 17 -> 18 ; 15723 : 11 -> 13 ; 17005 : 27 -> 28,55740
36,53003 : 32 -> 34 ; 13163 : 12 -> 13 ; 12041 : 4 -> 5 ; 15227 : 29 -> 30 ; 12501 : 9 -> 10 ; 18182 : 17 -> 18 ; 13007 : 26 -> 27 ; 14055 : 47 -> 48 ; 03401 : 24 -> 25 ; 12351 : 23 -> 24 ; 12349 : 9 -> 10 ; 12295 : 31 -> 32 ; 12942 : 13 -> 14 ; 13007 : 60 -> 61 ; 15004 : 26 -> 27 ; 12825 : 9 -> 10 ; 12349 : 13 -> 14 ; 12501 : 18 -> 19 ; 12015 : 1 -> 2 ; 09628 : 2 -> 3 ; 12215 : 3 -> 4 ; 12981 : 4 -> 5 ; 09628 : 6 -> 8 ; 12981 : 6 -> 7 ; 09628 : 9 -> 12 ; 09721 : 2 -> 3 ; 19610 : 16 -> 17 ; 09628 : 13 -> 14 ; 12958 : 5 -> 6 ; 16311 : 9 -> 10 ; 19414 : 30 -> 31 ; 19566 : 29 -> 30 ; 14806 : 16 -> 17 ; 11089 : 8 -> 9 ; 16126 : 10 -> 11 ; 19566 : 32 -> 33 ; 11092 : 17 -> 18 ; 14311 : 42 -> 43,71100
37,59811 : 16 -> 17 ; 19329 : 11 -> 12 ; 29019 : 3 -> 4 ; 12964 : 5 -> 9 ; 12181 : 14 -> 15 ; 09807 : 2 -> 3 ; 22653 : 26 -> 27 ; 12196 : 11 -> 13 ; 13238 : 13 -> 15 ; 14056 : 4 -> 5 ; 14152 : 4 -> 5,33540
38,12181 : 3 -> 4 ; 22162 : 1 -> 2 ; 12186 : 7 -> 8 ; 22162 : 4 -> 5 ; 12121 : 4 -> 5 ; 12197 : 4 -> 6 ; 14310 : 23 -> 24 ; 19166 : 51 -> 52 ; 19802 : 10 -> 11 ; 12181 : 11 -> 12 ; 54811 : 34 -> 35 ; 59822 : 27 -> 29 ; 54811 : 37 -> 38 ; 59822 : 30 -> 31 ; 54811 : 39 -> 40 ; 12466 : 18 -> 19 ; 59802 : 13 -> 15,27120
39,18303 : 3 -> 4 ; 14709 : 24 -> 25 ; 18303 : 6 -> 7 ; 22865 : 12 -> 14 ; 18451 : 21 -> 22 ; 12281 : 2 -> 3 ; 18030 : 7 -> 8 ; 22891 : 3 -> 5 ; 12021 : 3 -> 4 ; 12819 : 9 -> 10 ; 12877 : 12 -> 13 ; 12942 : 13 -> 14 ; 13007 : 60 -> 61 ; 15004 : 26 -> 27 ; 22412 : 3 -> 4 ; 12204 : 12 -> 13 ; 15280 : 8 -> 9,30060
40,02511 : 20 -> 22,2
41,19270 : 11 -> 16 ; 12214 : 1 -> 8 ; 22683 : 20 -> 30,22
42,01401 : 4 -> 21,10
43,02511 : 19 -> 23,4
44,01401 : 11 -> 21 ; 02511 : 4 -> 23,20
45,12286 : 1 -> 2 ; 12213 : 14 -> 19 ; 19270 : 16 -> 24,14
46,19270 : 19 -> 33,10
47,19270 : 17 -> 26,9
48,22683 : 7 -> 13,6
49,19270 : 15 -> 28,10
50,13347 : 32 -> 33 ; 12305 : 5 -> 6 ; 12142 : 5 -> 6 ; 11054 : 9 -> 10 ; 12142 : 7 -> 8 ; 01656 : 8 -> 9 ; 11045 : 8 -> 10 ; 11201 : 12 -> 14,10
51,11447 : 25 -> 26 ; 19608 : 19 -> 20 ; 12329 : 6 -> 8 ; 22805 : 18 -> 19 ; 12952 : 1 -> 2 ; 12218 : 5 -> 6 ; 12298 : 4 -> 5 ; 11088 : 17 -> 18 ; 12950 : 31 -> 32 ; 19270 : 31 -> 32 ; 19215 : 56 -> 57,12
52,22932 : 2 -> 3 ; 04802 : 4 -> 5 ; 19108 : 16 -> 18 ; 16533 : 4 -> 5 ; 12297 : 1 -> 2 ; 11011 : 5 -> 6 ; 11403 : 18 -> 19,8
53,11022 : 8 -> 9 ; 22208 : 5 -> 6 ; 12244 : 6 -> 7 ; 12269 : 1 -> 3 ; 11077 : 39 -> 40 ; 12037 : 1 -> 2 ; 04413 : 2 -> 3 ; 13007 : 100 -> 101,9
54,16592 : 26 -> 27 ; 16217 : 14 -> 15 ; 14805 : 8 -> 10 ; 02882 : 6 -> 7 ; 11028 : 45 -> 46,6
55,58111 : 34 -> 35 ; 02512 : 17 -> 18 ; 12222 : 3 -> 4 ; 12652 : 4 -> 5 ; 02510 : 16 -> 17 ; 12007 : 1 -> 2 ; 56264 : 1 -> 2,7
56,58012 : 25 -> 26 ; 12828 : 4 -> 5 ; 22812 : 8 -> 9 ; 12262 : 2 -> 3 ; 02590 : 4 -> 5 ; 12269 : 2 -> 3 ; 19325 : 13 -> 14,7
57,59440 : 15 -> 16 ; 19034 : 8 -> 9 ; 22696 : 3 -> 7 ; 12649 : 1 -> 2 ; 12732 : 8 -> 10 ; 57477 : 13 -> 14,10
58,58111 : 34 -> 35 ; 02512 : 17 -> 18 ; 12222 : 3 -> 4 ; 12285 : 3 -> 4 ; 12630 : 3 -> 4 ; 22695 : 4 -> 5 ; 12298 : 4 -> 5 ; 12216 : 7 -> 8 ; 19309 : 1 -> 2 ; 54805 : 4 -> 5,10
59,57274 : 20 -> 21 ; 11027 : 41 -> 42 ; 11044 : 13 -> 14 ; 22693 : 3 -> 4 ; 12220 : 1 -> 2 ; 16593 : 14 -> 15,6
60,01401 : 3 -> 21 ; 12213 : 11 -> 12 ; 22683 : 20 -> 23,01:17:30:00
61,01401 : 5 -> 21 ; 12213 : 11 -> 18,02:04:08:00
62,22692 : 12 -> 13,01:21:10:00
63,02511 : 15 -> 25,02:10:16:00
64,19270 : 2 -> 17,01:06:59:00
65,22683 : 23 -> 31 ; 19270 : 11 -> 16 ; 12214 : 1 -> 6 ; 22692 : 2 -> 4 ; 02511 : 4 -> 19,02:14:46:00
66,12214 : 2 -> 6 ; 12286 : 2 -> 3 ; 12437 : 1 -> 2 ; 22692 : 5 -> 7,00:21:43:00
67,22683 : 5 -> 13 ; 12437 : 2 -> 7 ; 12286 : 1 -> 2 ; 12213 : 14 -> 19 ; 19270 : 16 -> 17,01:21:44:00
68,58832 : 3 -> 21 ; 22683 : 18 -> 19,01:20:45:00
69,22683 : 22 -> 31 ; 19270 : 11 -> 16 ; 12214 : 1 -> 6 ; 22692 : 2 -> 4 ; 02511 : 4 -> 19,02:12:28:00
70,56904 : 14 -> 31 ; 16502 : 12 -> 13 ; 51401 : 11 -> 12 ; 51402 : 23 -> 25 ; 51401 : 10 -> 11 ; 22108 : 6 -> 7 ; 11101 : 1 -> 5 ; 19019 : 3 -> 4 ; 59442 : 68 -> 73 ; 12959 : 2 -> 3 ; 12298 : 3 -> 5 ; 19566 : 32 -> 35 ; 17017 : 1 -> 2 ; 19017 : 26 -> 28 ; 19060 : 3 -> 4 ; 59207 : 34 -> 43 ; 19264 : 28 -> 32 ; 19216 : 1 -> 2,01:02:19:00
71,57652 : 29 -> 41 ; 12735 : 1 -> 3 ; 17221 : 16 -> 18 ; 12220 : 3 -> 4 ; 11101 : 1 -> 5 ; 19019 : 3 -> 4 ; 59442 : 68 -> 73 ; 12959 : 2 -> 3 ; 12298 : 3 -> 5 ; 22903 : 5 -> 6 ; 14311 : 45 -> 46 ; 16335 : 2 -> 3 ; 14321 : 39 -> 41 ; 16335 : 1 -> 2 ; 19131 : 18 -> 20,00:19:03:00
72,52974 : 15 -> 16 ; 11069 : 9 -> 12 ; 12854 : 5 -> 9,00:19:10:00
73,54811 : 63 -> 64 ; 54806 : 3 -> 6 ; 22478 : 2 -> 5 ; 08244 : 6 -> 7 ; 12461 : 13 -> 17 ; 08244 : 3 -> 4 ; 19224 : 43 -> 47 ; 54801 : 1 -> 2 ; 08244 : 1 -> 2 ; 16311 : 5 -> 12 ; 12934 : 1 -> 6 ; 12922 : 1 -> 9 ; 19019 : 6 -> 7 ; 19006 : 29 -> 31 ; 19019 : 4 -> 5 ; 19018 : 28 -> 31 ; 12959 : 2 -> 3 ; 12264 : 3 -> 4 ; 11043 : 3 -> 6 ; 51401 : 1 -> 11 ; 12115 : 9 -> 16 ; 56903 : 1 -> 3 ; 56904 : 30 -> 31 ; 12219 : 3 -> 6 ; 17023 : 1 -> 2 ; 22118 : 1 -> 6 ; 17201 : 1 -> 5 ; 12711 : 1 -> 8 ; 57257 : 22 -> 25 ; 12710 : 12 -> 16 ; 57257 : 13 -> 15 ; 22879 : 17 -> 19 ; 57257 : 2 -> 4 ; 17402 : 19 -> 21 ; 57257 : 1 -> 2 ; 57258 : 89 -> 90 ; 12845 : 15 -> 19 ; 22818 : 3 -> 4 ; 16525 : 42 -> 47 ; 00852 : 1 -> 2 ; 17230 : 21 -> 24 ; 16616 : 4 -> 5 ; 16609 : 10 -> 14 ; 16616 : 3 -> 4 ; 12257 : 6 -> 7 ; 16616 : 2 -> 3 ; 17606 : 17 -> 19 ; 16616 : 1 -> 2 ; 16855 : 10 -> 19 ; 16308 : 2 -> 3 ; 16629 : 38 -> 40 ; 12081 : 1 -> 2 ; 12685 : 14 -> 18 ; 16649 : 2 -> 3 ; 16604 : 31 -> 33 ; 16860 : 1 -> 3,00:11:14:00
74,57515 : 7 -> 9 ; 51034 : 5 -> 8 ; 51028 : 6 -> 20 ; 11101 : 3 -> 5 ; 19019 : 3 -> 4 ; 59442 : 68 -> 73 ; 12959 : 2 -> 3 ; 12298 : 3 -> 4 ; 12239 : 3 -> 5 ; 19653 : 1 -> 13 ; 12316 : 4 -> 8 ; 12065 : 1 -> 2 ; 09627 : 2 -> 3 ; 08244 : 8 -> 9 ; 12985 : 1 -> 2 ; 19666 : 10 -> 17 ; 12195 : 3 -> 4 ; 22917 : 17 -> 18 ; 13168 : 2 -> 5 ; 19022 : 5 -> 6 ; 19409 : 18 -> 21 ; 19022 : 4 -> 5 ; 19061 : 20 -> 21 ; 22444 : 21 -> 22 ; 19022 : 3 -> 4 ; 15108 : 7 -> 10 ; 19022 : 1 -> 2 ; 12226 : 4 -> 7 ; 15280 : 8 -> 9 ; 15002 : 12 -> 16 ; 11056 : 1 -> 2 ; 15008 : 23 -> 24 ; 15107 : 3 -> 4 ; 15708 : 37 -> 39 ; 15107 : 1 -> 2 ; 12524 : 9 -> 11 ; 14015 : 9 -> 11 ; 22412 : 7 -> 8 ; 14015 : 8 -> 9 ; 12566 : 9 -> 11 ; 19040 : 1 -> 2 ; 14015 : 6 -> 7 ; 13508 : 7 -> 8 ; 12236 : 11 -> 12 ; 15719 : 1 -> 4 ; 12042 : 3 -> 4 ; 13012 : 1 -> 8 ; 53048 : 1 -> 19 ; 12342 : 6 -> 7 ; 12019 : 1 -> 5 ; 13301 : 1 -> 8 ; 12828 : 3 -> 5 ; 22875 : 8 -> 9,01:00:01:00
75,56504 : 11 -> 12 ; 17212 : 15 -> 16 ; 57620 : 16 -> 18 ; 12711 : 2 -> 8 ; 57257 : 22 -> 25 ; 12710 : 12 -> 16 ; 57257 : 13 -> 15 ; 12898 : 14 -> 15 ; 12762 : 9 -> 10 ; 57257 : 4 -> 6 ; 17402 : 18 -> 20 ; 02873 : 7 -> 8 ; 57257 : 1 -> 2 ; 57258 : 89 -> 90 ; 12845 : 15 -> 19 ; 22818 : 3 -> 4 ; 16525 : 42 -> 47 ; 00852 : 1 -> 2 ; 17230 : 21 -> 24 ; 16616 : 4 -> 6 ; 16858 : 15 -> 16 ; 12605 : 9 -> 10 ; 16178 : 2 -> 3,01:02:12:00
76,12916 : 9 -> 20 ; 12934 : 1 -> 6 ; 12922 : 1 -> 9 ; 19019 : 6 -> 7 ; 19006 : 29 -> 31 ; 19019 : 4 -> 5 ; 19018 : 28 -> 31 ; 12959 : 2 -> 3 ; 12264 : 3 -> 4 ; 12811 : 2 -> 3 ; 22848 : 3 -> 4 ; 11093 : 7 -> 8 ; 11025 : 2 -> 5 ; 12809 : 10 -> 12 ; 11025 : 1 -> 2 ; 12105 : 8 -> 9 ; 11077 : 12 -> 14 ; 52974 : 16 -> 19,00:20:35:00
77,14258 : 23 -> 35 ; 12372 : 23 -> 24 ; 18312 : 3 -> 4,00:18:07:00
78,57257 : 27 -> 28 ; 12711 : 6 -> 8 ; 57257 : 22 -> 25 ; 12710 : 12 -> 16 ; 57257 : 13 -> 15 ; 12864 : 11 -> 15 ; 57652 : 8 -> 12 ; 17201 : 1 -> 5 ; 12713 : 1 -> 8 ; 12723 : 3 -> 4 ; 17234 : 15 -> 17 ; 16864 : 20 -> 22 ; 17234 : 7 -> 10 ; 12708 : 6 -> 7 ; 12967 : 6 -> 8 ; 17234 : 1 -> 2 ; 12771 : 8 -> 9 ; 17005 : 6 -> 8 ; 12856 : 1 -> 10 ; 13287 : 1 -> 5 ; 12409 : 6 -> 7 ; 18518 : 24 -> 27 ; 12409 : 5 -> 6 ; 58112 : 43 -> 53 ; 12409 : 4 -> 5 ; 12767 : 11 -> 12 ; 18105 : 4 -> 5 ; 18005 : 24 -> 25 ; 18303 : 2 -> 12 ; 12074 : 1 -> 2 ; 12281 : 2 -> 3 ; 12883 : 3 -> 4 ; 12828 : 11 -> 13 ; 12021 : 2 -> 4 ; 58111 : 1 -> 3 ; 18183 : 2 -> 5 ; 12828 : 1 -> 3 ; 13417 : 9 -> 10 ; 22843 : 12 -> 17 ; 03401 : 15 -> 19 ; 18697 : 15 -> 17 ; 03236 : 10 -> 11 ; 18449 : 24 -> 25 ; 03236 : 4 -> 5 ; 13287 : 49 -> 51 ; 12355 : 1 -> 2 ; 12365 : 1 -> 3 ; 12389 : 1 -> 5 ; 12333 : 25 -> 27 ; 14219 : 1 -> 5 ; 12174 : 1 -> 4 ; 14307 : 30 -> 32 ; 14235 : 24 -> 27,00:09:03:00
79,57563 : 18 -> 29 ; 17688 : 1 -> 8 ; 17619 : 5 -> 6 ; 51422 : 18 -> 24 ; 17619 : 3 -> 4 ; 11206 : 9 -> 11 ; 17619 : 2 -> 3 ; 17002 : 16 -> 18 ; 17619 : 1 -> 2 ; 17064 : 17 -> 23 ; 11093 : 7 -> 8 ; 11025 : 2 -> 5 ; 12809 : 10 -> 12 ; 11025 : 1 -> 2 ; 12105 : 8 -> 9 ; 11077 : 12 -> 19 ; 22187 : 3 -> 8,00:23:03:00
