ProblemNo,Connection,Cost
30,16630 : 2 -> 3 ; 12602 : 2 -> 3 ; 22852 : 2 -> 3 ; 12602 : 4 -> 5 ; 16649 : 4 -> 5 ; 12602 : 6 -> 7 ; 16345 : 25 -> 26 ; 16649 : 8 -> 9 ; 11097 : 26 -> 27 ; 22638 : 9 -> 10 ; 12602 : 11 -> 12 ; 16306 : 4 -> 5 ; 12618 : 38 -> 39 ; 12075 : 2 -> 3 ; 22609 : 11 -> 12 ; 12602 : 21 -> 22 ; 16188 : 10 -> 11 ; 12512 : 18 -> 19 ; 12507 : 12 -> 13 ; 16616 : 1 -> 2 ; 12258 : 15 -> 16 ; 12507 : 16 -> 17 ; 16562 : 12 -> 13 ; 06544 : 7 -> 8 ; 12639 : 9 -> 10 ; 22601 : 5 -> 6 ; 12609 : 14 -> 15 ; 56214 : 24 -> 25 ; 16021 : 12 -> 13 ; 12510 : 39 -> 40 ; 11013 : 24 -> 25 ; 54702 : 3 -> 4 ; 54701 : 31 -> 32 ; 54703 : 31 -> 33 ; 22308 : 1 -> 3 ; 22982 : 11 -> 12 ; 22473 : 3 -> 4 ; 22477 : 4 -> 5 ; 16863 : 6 -> 7 ; 12466 : 7 -> 9 ; 22982 : 16 -> 17 ; 09721 : 2 -> 3 ; 19610 : 16 -> 17 ; 09628 : 13 -> 14 ; 19665 : 25 -> 26 ; 19413 : 13 -> 14 ; 19654 : 8 -> 9 ; 12981 : 15 -> 16 ; 12992 : 13 -> 14 ; 19665 : 29 -> 30 ; 19943 : 1 -> 5,86280
31,17031 : 12 -> 13 ; 11301 : 8 -> 9 ; 11027 : 15 -> 16 ; 17031 : 15 -> 16 ; 17308 : 9 -> 10 ; 17031 : 17 -> 18 ; 12163 : 6 -> 7 ; 17319 : 14 -> 15 ; 11027 : 22 -> 23 ; 16339 : 14 -> 15 ; 19420 : 13 -> 14 ; 22692 : 8 -> 9 ; 12214 : 14 -> 15 ; 12735 : 9 -> 10 ; 16531 : 35 -> 36 ; 12591 : 38 -> 39 ; 12214 : 16 -> 18 ; 12628 : 32 -> 33 ; 11013 : 24 -> 25 ; 54702 : 3 -> 4 ; 54701 : 31 -> 32 ; 54703 : 31 -> 33 ; 12458 : 1 -> 2 ; 04735 : 2 -> 4 ; 12458 : 4 -> 5 ; 22471 : 5 -> 6 ; 12372 : 7 -> 8 ; 04735 : 6 -> 7 ; 12372 : 9 -> 10 ; 04735 : 8 -> 9 ; 14706 : 14 -> 15 ; 04735 : 10 -> 11 ; 12065 : 7 -> 8 ; 12413 : 12 -> 13 ; 14312 : 34 -> 35 ; 19031 : 33 -> 35 ; 19325 : 15 -> 16 ; 22824 : 3 -> 4 ; 12314 : 3 -> 4 ; 12310 : 5 -> 6 ; 12398 : 8 -> 9 ; 13010 : 46 -> 47,58020
32,52973 : 33 -> 35 ; 52993 : 29 -> 30 ; 52973 : 36 -> 38 ; 52993 : 32 -> 33 ; 59025 : 18 -> 19 ; 11405 : 16 -> 17 ; 11404 : 18 -> 19 ; 11201 : 24 -> 25 ; 12159 : 5 -> 6 ; 18029 : 28 -> 29 ; 12968 : 23 -> 24 ; 12976 : 22 -> 23 ; 16032 : 50 -> 51 ; 12688 : 16 -> 17 ; 12214 : 10 -> 11 ; 12976 : 29 -> 30 ; 17405 : 44 -> 45 ; 17221 : 14 -> 15 ; 12214 : 12 -> 13 ; 57129 : 30 -> 31 ; 12702 : 7 -> 8 ; 11027 : 22 -> 23 ; 16339 : 14 -> 15 ; 19420 : 13 -> 14 ; 22692 : 8 -> 9 ; 12976 : 38 -> 39 ; 07324 : 8 -> 9 ; 11017 : 14 -> 15 ; 57273 : 39 -> 40,42360
33,18006 : 15 -> 16 ; 18426 : 11 -> 12 ; 18006 : 18 -> 19 ; 12872 : 4 -> 5 ; 18406 : 28 -> 30 ; 12880 : 7 -> 8 ; 22905 : 25 -> 26 ; 12767 : 13 -> 15 ; 12819 : 9 -> 10 ; 12310 : 5 -> 6 ; 18201 : 17 -> 18 ; 12538 : 2 -> 3 ; 14650 : 40 -> 41 ; 55150 : 14 -> 15,35220
34,22108 : 4 -> 5 ; 01420 : 10 -> 11 ; 11051 : 3 -> 4 ; 11403 : 19 -> 20 ; 01428 : 2 -> 4 ; 11403 : 21 -> 22 ; 11005 : 10 -> 12 ; 16590 : 9 -> 10 ; 11047 : 9 -> 11 ; 16590 : 12 -> 13 ; 11047 : 12 -> 13 ; 17309 : 13 -> 14 ; 06948 : 5 -> 6 ; 11097 : 10 -> 11 ; 17311 : 22 -> 23 ; 12223 : 4 -> 5 ; 10215 : 5 -> 6 ; 16516 : 9 -> 11,40500
35,52458 : 18 -> 20 ; 12312 : 1 -> 3 ; 12006 : 2 -> 3 ; 12029 : 2 -> 3 ; 14525 : 3 -> 5 ; 14711 : 13 -> 15 ; 14731 : 18 -> 19 ; 12485 : 21 -> 23 ; 54701 : 1 -> 2 ; 54703 : 6 -> 8 ; 24887 : 18 -> 20 ; 54703 : 12 -> 13 ; 19224 : 32 -> 33 ; 19108 : 10 -> 12 ; 12455 : 18 -> 19 ; 24887 : 27 -> 28 ; 54703 : 28 -> 29 ; 54701 : 30 -> 32 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 12079 : 1 -> 2 ; 12213 : 1 -> 4 ; 19567 : 15 -> 16 ; 12975 : 8 -> 9 ; 11014 : 17 -> 18 ; 56501 : 50 -> 55,45060
36,13142 : 6 -> 7 ; 15960 : 37 -> 38 ; 12501 : 7 -> 8 ; 13164 : 14 -> 15 ; 12364 : 5 -> 6 ; 15228 : 7 -> 8 ; 15930 : 28 -> 29 ; 13148 : 14 -> 15 ; 13012 : 7 -> 8 ; 12346 : 11 -> 12 ; 12042 : 6 -> 7 ; 12334 : 29 -> 30 ; 12865 : 1 -> 2 ; 12516 : 17 -> 18 ; 12827 : 3 -> 4,24780
37,15159 : 12 -> 13 ; 11062 : 11 -> 12 ; 18202 : 8 -> 9 ; 12362 : 12 -> 13 ; 12141 : 10 -> 11 ; 12332 : 19 -> 20 ; 03236 : 1 -> 2 ; 15484 : 29 -> 30 ; 12304 : 14 -> 15 ; 12570 : 13 -> 14 ; 12578 : 36 -> 37 ; 12502 : 8 -> 10 ; 13147 : 15 -> 16 ; 06336 : 48 -> 49 ; 12041 : 7 -> 8 ; 12502 : 11 -> 13 ; 15643 : 23 -> 24 ; 13282 : 14 -> 15 ; 15905 : 52 -> 53 ; 12345 : 12 -> 13 ; 13282 : 17 -> 18 ; 12067 : 1 -> 2 ; 15929 : 39 -> 40 ; 12067 : 3 -> 5 ; 05967 : 9 -> 10 ; 12067 : 6 -> 8 ; 12525 : 21 -> 23 ; 05967 : 19 -> 20 ; 15959 : 51 -> 52 ; 15603 : 27 -> 28 ; 05967 : 24 -> 26 ; 15603 : 30 -> 34,69660
38,58840 : 44 -> 46 ; 58838 : 10 -> 11 ; 58832 : 17 -> 18 ; 58840 : 49 -> 50 ; 58832 : 19 -> 20 ; 58838 : 14 -> 15 ; 12159 : 7 -> 9 ; 19302 : 22 -> 23 ; 11045 : 20 -> 21 ; 12643 : 25 -> 26 ; 11207 : 8 -> 9 ; 12188 : 12 -> 13 ; 12159 : 16 -> 17 ; 22187 : 6 -> 7 ; 01711 : 13 -> 14 ; 01655 : 12 -> 13 ; 11265 : 1 -> 2 ; 18233 : 38 -> 39,27600
39,58839 : 23 -> 24 ; 58835 : 18 -> 19 ; 14009 : 1 -> 5 ; 11045 : 20 -> 21 ; 12643 : 25 -> 26 ; 12534 : 7 -> 8 ; 12155 : 1 -> 2 ; 19712 : 1 -> 2 ; 22183 : 3 -> 4 ; 22185 : 3 -> 4 ; 19302 : 29 -> 30 ; 12914 : 10 -> 12 ; 12962 : 3 -> 4 ; 59394 : 30 -> 31 ; 59320 : 30 -> 32 ; 12941 : 12 -> 13 ; 12967 : 27 -> 28 ; 19037 : 25 -> 26 ; 19019 : 53 -> 54 ; 59802 : 17 -> 18,40440
40,22683 : 23 -> 31 ; 19270 : 11 -> 16 ; 12214 : 1 -> 16 ; 22692 : 11 -> 13,25
41,19270 : 30 -> 32,2
42,58832 : 7 -> 21 ; 12285 : 3 -> 5,12
43,58832 : 9 -> 21 ; 12285 : 3 -> 5 ; 12213 : 14 -> 19 ; 19270 : 16 -> 26,27
44,02511 : 2 -> 4 ; 22692 : 4 -> 5 ; 12214 : 11 -> 14 ; 22692 : 9 -> 10 ; 22683 : 5 -> 6,8
45,22683 : 8 -> 31 ; 19270 : 11 -> 26,20
46,22683 : 11 -> 13 ; 12437 : 2 -> 3 ; 12213 : 11 -> 12 ; 22683 : 20 -> 23,7
47,19270 : 10 -> 16 ; 12214 : 1 -> 6 ; 22692 : 2 -> 3,12
48,22683 : 10 -> 13 ; 12437 : 2 -> 3 ; 02511 : 4 -> 20,14
49,19270 : 20 -> 33,10
50,58530 : 42 -> 43 ; 17482 : 61 -> 62 ; 12994 : 12 -> 13 ; 22866 : 12 -> 13 ; 02590 : 4 -> 5 ; 12293 : 4 -> 5 ; 11081 : 12 -> 13,7
51,11016 : 7 -> 8 ; 05027 : 5 -> 6 ; 04407 : 13 -> 14 ; 04736 : 7 -> 8 ; 12015 : 4 -> 6 ; 11204 : 1 -> 2 ; 54806 : 2 -> 3,8
52,13010 : 37 -> 38 ; 13152 : 60 -> 61 ; 11045 : 31 -> 32 ; 12142 : 5 -> 6 ; 11054 : 9 -> 10 ; 12150 : 10 -> 11 ; 12719 : 11 -> 12 ; 01402 : 8 -> 11,10
53,12219 : 3 -> 4 ; 22881 : 4 -> 5 ; 07704 : 2 -> 4 ; 12604 : 4 -> 5,5
54,22884 : 24 -> 25 ; 22202 : 2 -> 3 ; 22213 : 3 -> 4 ; 12333 : 2 -> 3 ; 12316 : 22 -> 23 ; 13103 : 1 -> 2 ; 53178 : 29 -> 30 ; 53172 : 27 -> 29,9
55,14055 : 3 -> 56 ; 11055 : 10 -> 11 ; 11108 : 12 -> 13,12
56,18005 : 7 -> 8 ; 12819 : 9 -> 10 ; 12281 : 4 -> 5 ; 12329 : 8 -> 9 ; 14001 : 1 -> 2 ; 12358 : 1 -> 2,6
57,14732 : 2 -> 5 ; 14626 : 3 -> 4 ; 12048 : 1 -> 3 ; 12422 : 8 -> 9 ; 12038 : 6 -> 7 ; 12952 : 1 -> 2 ; 13423 : 13 -> 14 ; 09722 : 4 -> 5 ; 12991 : 7 -> 9,13
58,12531 : 9 -> 10 ; 11016 : 7 -> 8 ; 05027 : 5 -> 6 ; 04415 : 13 -> 14 ; 12952 : 1 -> 2 ; 12218 : 5 -> 6 ; 19033 : 19 -> 20 ; 59442 : 16 -> 17,8
59,12851 : 9 -> 10 ; 12389 : 13 -> 14 ; 07708 : 5 -> 6 ; 07720 : 6 -> 8 ; 17026 : 14 -> 15 ; 57626 : 1 -> 2,7
60,01401 : 17 -> 21 ; 12213 : 11 -> 19 ; 19270 : 16 -> 19,02:14:56:00
61,02511 : 18 -> 19,01:07:45:00
62,02511 : 23 -> 24,13:18:00
63,02511 : 9 -> 21,02:09:50:00
64,01401 : 19 -> 21 ; 12213 : 11 -> 17,01:06:25:00
65,58832 : 16 -> 21 ; 12214 : 9 -> 14 ; 22692 : 9 -> 10 ; 22683 : 5 -> 9,02:07:28:00
66,58832 : 7 -> 21 ; 12213 : 11 -> 12 ; 22683 : 20 -> 31 ; 19270 : 11 -> 14,02:09:40:00
67,19270 : 23 -> 26,01:04:14:00
68,12214 : 1 -> 14 ; 22692 : 9 -> 10 ; 22683 : 5 -> 8,03:06:33:00
69,01401 : 6 -> 21 ; 12214 : 9 -> 14,02:01:55:00
70,51028 : 19 -> 20 ; 12115 : 7 -> 16 ; 57130 : 40 -> 42,01:09:04:00
71,12843 : 4 -> 5 ; 12864 : 26 -> 33 ; 12262 : 2 -> 3 ; 12968 : 22 -> 23 ; 12810 : 22 -> 23 ; 12843 : 31 -> 35 ; 18030 : 70 -> 71 ; 22827 : 17 -> 18 ; 16312 : 30 -> 34 ; 12959 : 9 -> 11,02:11:34:00
72,52551 : 3 -> 6,01:15:48:00
73,56503 : 18 -> 22 ; 17615 : 7 -> 11 ; 12868 : 6 -> 8 ; 22856 : 2 -> 4 ; 12253 : 7 -> 9 ; 12709 : 7 -> 11 ; 12253 : 10 -> 11 ; 17209 : 34 -> 35 ; 22870 : 8 -> 9 ; 17487 : 31 -> 32,01:08:05:00
74,19223 : 20 -> 21 ; 54702 : 1 -> 3 ; 11013 : 25 -> 26 ; 16592 : 9 -> 12 ; 12213 : 2 -> 4 ; 16332 : 24 -> 25 ; 22884 : 5 -> 10 ; 56502 : 61 -> 62,02:15:24:00
75,19653 : 11 -> 21 ; 12413 : 1 -> 3 ; 12468 : 3 -> 15 ; 22480 : 1 -> 2 ; 19107 : 5 -> 6 ; 54703 : 23 -> 31 ; 54702 : 2 -> 3 ; 11013 : 25 -> 26 ; 16592 : 9 -> 10 ; 12658 : 2 -> 5 ; 11005 : 32 -> 35,02:03:38:00
76,18615 : 6 -> 7 ; 22843 : 9 -> 12 ; 13417 : 10 -> 11 ; 13417 : 13 -> 18 ; 12363 : 6 -> 9 ; 15629 : 30 -> 37 ; 12519 : 26 -> 29 ; 15629 : 39 -> 40 ; 15817 : 13 -> 15 ; 15929 : 39 -> 44 ; 12067 : 7 -> 10 ; 15929 : 47 -> 50,02:16:30:00
77,59811 : 14 -> 15 ; 59812 : 55 -> 66 ; 19038 : 53 -> 58 ; 12284 : 3 -> 5 ; 13351 : 93 -> 97 ; 22619 : 25 -> 27 ; 56700 : 37 -> 43,02:10:12:00
78,15115 : 6 -> 8 ; 13308 : 52 -> 57 ; 11105 : 14 -> 15 ; 16230 : 3 -> 6 ; 18202 : 18 -> 23 ; 12550 : 14 -> 17 ; 18211 : 2 -> 10,01:18:38:00
79,54078 : 13 -> 20 ; 13006 : 16 -> 34,01:17:09:00
